TIMESTAMP,Samp_EXO-TempC,Samp_EXO-TurbNTU,Samp_EXO-SpCondmScm,Samp_EXO-DOPerSat,Samp_EXO-Salpsu,Samp_EXO-BatV,Samp_EXO-DOmgL,Samp_EXO-ChlugL,Samp_EXO-pH,Samp_EXO-pHmV,Samp_EXO-Depthm,Samp_EXO-ChlRFU,Samp_EXO-TurbFNU,Samp_EXO-fDOMRFU,Samp_EXO-fDOMQSU,Samp_RECORD,Samp_Temp_degC,Samp_EC_uScm,Samp_pH,Samp_DO_Sat,Samp_DO_mg,Samp_Turbidity_NTU,Samp_Chloraphylla_ugL
2019-11-28 04:00:00,29.0,9.0,56.0,88.0,37.0,5.0,6.0,28.0,8.0,-78.0,1.0,7.0,9.0,3.0,9.0,,,,,,,,
2019-11-28 04:30:00,29.0,9.0,56.0,87.0,37.0,5.0,6.0,28.0,8.0,-78.0,1.0,7.0,9.0,3.0,9.0,,,,,,,,
2019-11-28 05:00:00,28.0,12.0,56.0,86.0,37.0,5.0,5.0,26.0,8.0,-77.0,1.0,6.0,12.0,3.0,9.0,,,,,,,,
2019-11-28 05:30:00,28.0,11.0,56.0,84.0,37.0,5.0,5.0,22.0,8.0,-77.0,1.0,6.0,11.0,3.0,9.0,,,,,,,,
2019-11-28 06:00:00,28.0,11.0,56.0,84.0,37.0,5.0,5.0,21.0,8.0,-77.0,1.0,5.0,11.0,3.0,9.0,,,,,,,,
2019-11-28 06:30:00,28.0,11.0,56.0,83.0,37.0,5.0,5.0,20.0,8.0,-76.0,1.0,5.0,11.0,3.0,9.0,,,,,,,,
2019-11-28 07:00:00,28.0,11.0,56.0,83.0,37.0,5.0,5.0,18.0,8.0,-76.0,1.0,5.0,11.0,3.0,10.0,,,,,,,,
2019-11-28 07:30:00,28.0,11.0,56.0,82.0,37.0,5.0,5.0,17.0,8.0,-76.0,1.0,4.0,11.0,3.0,10.0,,,,,,,,
2019-11-28 08:00:00,28.0,11.0,56.0,82.0,37.0,5.0,5.0,16.0,8.0,-75.0,1.0,4.0,11.0,3.0,10.0,,,,,,,,
2019-11-28 08:30:00,28.0,10.0,56.0,82.0,37.0,5.0,5.0,17.0,8.0,-75.0,1.0,4.0,10.0,3.0,10.0,,,,,,,,
