Timestamp,Record,ABSSpd Avg,Direction Avg,ChlugL,Depthm,DOmgL,DOPerSat,fDOMRFU,pH,SpCondmScm,TempC,TurbFNU
Units,,,,ug/L,m,mg/L,%,RFU,,mS/cm,c,FNU
2020-07-31 10:40:00,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-11 15:40:00,2,0,0,0,0,0,0,0,0,0,0,0
2020-08-11 15:50:00,3,4.041,72.843,0,0,0,0,0,0,0,0,0
2020-08-11 16:00:00,4,9.479,158.332,-1.64,0.339,8.07,93.94,1.65,63747.66,0.417,22.852,5.09
2020-08-11 16:10:00,5,7.236,189.317,-1.62,0.339,8.03,93.6,1.34,63796.039,0.409,22.935,3.07
2020-08-11 16:20:00,6,3.166,153.818,-1.63,0.34,7.98,92.96,1.79,62351.629,0.405,22.909,2.98
2020-08-11 16:30:00,7,8.093,108.524,-1.63,0.34,7.95,92.51,1.35,62436.73,0.404,22.847,3.73
2020-08-11 16:40:00,8,9.216,160.742,-1.6,0.341,7.94,92.32,1.7,62889.621,0.404,22.795,3.67
2020-08-11 16:50:00,9,2.576,158.139,-1.6,0.343,7.93,92.13,2.04,63251.551,0.405,22.742,3.55
2020-08-11 17:00:00,10,3.882,228.025,-1.67,0.345,7.93,92,1.29,63593,0.404,22.682,3.38
2020-08-11 17:10:00,11,7.856,233.957,-1.61,0.345,7.93,91.89,1.74,65733.328,0.403,22.618,3.56
2020-08-11 17:20:00,12,7.631,126.21,-1.66,0.347,7.94,91.8,1.34,65052.699,0.403,22.536,3.36
2020-08-11 17:30:00,13,4.083,111.455,-1.61,0.348,7.94,91.71,1.35,65265.43,0.403,22.448,3.47
2020-08-11 17:40:00,14,7.086,213.225,-1.7,0.349,7.95,91.59,1.23,65727.18,0.403,22.355,3.4
2020-08-11 17:50:00,15,11.989,199.429,-1.7,0.352,7.95,91.48,1.6,66246.711,0.403,22.259,3.23
2020-08-11 18:00:00,16,9.633,136.269,-1.64,0.353,7.95,91.3,1.74,67035.133,0.402,22.158,3.04
2020-08-11 18:10:00,17,10.595,271.856,-1.71,0.354,7.96,91.2,1.79,69506.32,0.402,22.068,3.32
2020-08-11 18:20:00,18,12.507,263.102,-1.67,0.357,7.95,91.02,1.66,69050.352,0.402,21.975,3.02
2020-08-11 18:30:00,19,8.666,265.887,-1.67,0.357,7.96,90.93,1.6,69520.688,0.401,21.882,3.1
2020-08-11 18:40:00,20,16.681,303.176,-1.69,0.357,7.96,90.76,1.52,70116.117,0.401,21.793,2.91
2020-08-11 18:50:00,21,18.078,246.312,-1.61,0.359,7.97,90.74,1.75,70662.469,0.401,21.704,2.95
2020-08-11 19:00:00,22,9.373,242.966,-1.7,0.36,7.98,90.67,1.64,71259.789,0.4,21.618,3.08
2020-08-11 19:10:00,23,9.023,193.693,-1.66,0.359,7.99,90.61,1.7,75227.383,0.4,21.537,3.06
2020-08-11 19:20:00,24,4.189,44.779,-1.65,0.36,8,90.63,1.77,73707.469,0.4,21.444,3.03
2020-08-11 19:30:00,25,4.828,95.449,-1.63,0.36,8.01,90.57,1.25,74020.383,0.399,21.352,3.02
2020-08-11 19:40:00,26,4.944,129.553,-1.66,0.361,8.02,90.46,1.41,74810.438,0.4,21.266,2.95
2020-08-11 19:50:00,27,2.853,237.354,-1.68,0.362,8.02,90.36,1.64,75615.141,0.4,21.179,2.93
2020-08-11 20:00:00,28,2.95,346.682,-1.79,0.363,8.03,90.36,1.6,76595.859,0.399,21.091,3.1
2020-08-11 20:10:00,29,3.779,307.789,-1.7,0.363,8.04,90.33,1.62,79614.57,0.399,21.011,3.05
2020-08-11 20:20:00,30,2.994,233.606,-1.65,0.363,8.05,90.24,1.87,79159.617,0.399,20.923,2.94
2020-08-11 20:30:00,31,2.444,259.211,-1.75,0.362,8.06,90.15,1.77,82416.391,0.398,20.833,2.85
2020-08-11 20:40:00,32,2.144,338.427,-1.58,0.363,8.06,90.01,1.26,86448.078,0.399,20.753,3.07
2020-08-11 20:50:00,33,2.705,206.268,-1.69,0.363,8.05,89.84,1.57,89394.969,0.399,20.665,2.97
2020-08-11 21:00:00,34,4.289,170.638,-1.54,0.364,8.07,89.84,1.49,92826.781,0.398,20.575,2.86
2020-08-11 21:10:00,35,7.472,314.101,-1.63,0.366,8.09,89.89,1.48,96779.977,0.398,20.49,3.05
2020-08-11 21:20:00,36,9.059,287.328,-1.61,0.364,8.09,89.82,1.61,96824.406,0.398,20.406,2.99
2020-08-11 21:30:00,37,5.473,251.165,-1.57,0.364,8.1,89.79,1.98,98074.406,0.398,20.326,3.03
2020-08-11 21:40:00,38,1.947,194.645,-1.63,0.364,8.11,89.75,1.32,99215.172,0.398,20.241,2.98
2020-08-11 21:50:00,39,4.389,109.211,-1.56,0.366,8.12,89.65,1.3,100205.203,0.398,20.156,2.89
2020-08-11 22:00:00,40,5.917,34.722,-1.6,0.366,8.13,89.6,1.4,102664.656,0.397,20.069,3.02
2020-08-11 22:10:00,41,6.544,116.05,-1.64,0.366,8.14,89.56,1.49,106082.953,0.397,19.998,2.81
2020-08-11 22:20:00,42,10.752,254.315,-1.56,0.365,8.14,89.46,1.5,104981.68,0.398,19.921,2.7
2020-08-11 22:30:00,43,11.298,265.351,-1.65,0.365,8.14,89.32,1.44,105158.211,0.397,19.846,2.76
2020-08-11 22:40:00,44,9.138,252.621,-1.64,0.364,8.14,89.24,1.46,105431.477,0.397,19.775,2.8
2020-08-11 22:50:00,45,9.619,229.024,-1.59,0.365,8.15,89.18,1.26,105937.477,0.397,19.704,2.98
2020-08-11 23:00:00,46,9.159,219.402,-1.56,0.364,8.15,89.04,1.98,106495.977,0.397,19.634,2.86
2020-08-11 23:10:00,47,5.67,206.083,-1.61,0.363,8.15,89,1.3,109360.953,0.397,19.569,2.85
2020-08-11 23:20:00,48,3.739,224.023,-1.64,0.363,8.16,88.96,1.59,108480.891,0.397,19.498,2.87
2020-08-11 23:30:00,49,3.658,258.003,-1.6,0.364,8.15,88.76,1.85,108752.953,0.397,19.431,2.68
2020-08-11 23:40:00,50,2.461,231.756,-1.58,0.362,8.16,88.71,1.82,109690.969,0.397,19.367,2.65
2020-08-11 23:50:00,51,5.053,192.11,-1.67,0.363,8.15,88.52,1.8,110142.328,0.397,19.304,2.61
2020-08-12 00:00:00,52,6.208,174.933,-1.63,0.364,8.17,88.58,1.8,110846.852,0.397,19.242,2.67
2020-08-12 00:10:00,53,3.234,196.097,-1.56,0.365,8.18,88.6,1.58,113900.289,0.397,19.187,2.66
2020-08-12 00:20:00,54,4.667,279.221,-1.6,0.365,8.19,88.57,2.02,113049.938,0.397,19.128,2.61
2020-08-12 00:30:00,55,9.639,334.217,-1.57,0.365,8.19,88.55,1.84,113335.703,0.397,19.072,2.66
2020-08-12 00:40:00,56,13.243,333.477,-1.61,0.366,8.19,88.4,1.51,115425.188,0.396,19.015,2.63
2020-08-12 00:50:00,57,16.178,337.477,-1.62,0.364,8.2,88.42,1.84,116380.07,0.397,18.967,2.37
2020-08-12 01:00:00,58,18.042,328.133,-1.57,0.365,8.22,88.56,2.1,117167.367,0.397,18.915,2.5
2020-08-12 01:10:00,59,20.006,312.065,-1.59,0.365,8.24,88.64,1.99,120157.758,0.397,18.864,2.57
2020-08-12 01:20:00,60,18.714,320.342,-1.55,0.363,8.24,88.56,1.88,119097,0.397,18.803,2.43
2020-08-12 01:30:00,61,12.769,180.602,-1.58,0.363,8.24,88.46,1.93,122675.062,0.397,18.719,2.41
2020-08-12 01:40:00,62,9.64,39.207,-1.57,0.362,8.28,88.61,1.91,135972.312,0.396,18.601,2.5
2020-08-12 01:50:00,63,6.847,86.433,-1.62,0.361,8.3,88.61,1.57,134154.234,0.397,18.473,2.4
2020-08-12 02:00:00,64,4.998,100.131,-1.54,0.362,8.31,88.54,1.86,133659.516,0.397,18.355,2.3
2020-08-12 02:10:00,65,6.174,161.347,-1.59,0.361,8.32,88.4,1.61,136072.094,0.397,18.236,2.35
2020-08-12 02:20:00,66,4.836,140,-1.53,0.361,8.33,88.24,1.89,135361.375,0.397,18.098,2.34
2020-08-12 02:30:00,67,3.99,82.205,-1.6,0.363,8.34,88.07,1.82,135677.875,0.397,17.952,2.27
2020-08-12 02:40:00,68,4.338,138.155,-1.56,0.363,8.35,87.93,1.99,136212.797,0.397,17.807,2.25
2020-08-12 02:50:00,69,4.563,232.789,-1.53,0.363,8.37,87.85,1.73,138000.5,0.397,17.657,2.23
2020-08-12 03:00:00,70,6.962,325.628,-1.5,0.364,8.38,87.73,1.99,138144.422,0.397,17.529,2.25
2020-08-12 03:10:00,71,9.118,307.397,-1.55,0.361,8.38,87.53,1.59,136277.672,0.397,17.413,2.26
2020-08-12 03:20:00,72,8.221,286.428,-1.54,0.357,8.38,87.34,2.14,133479.406,0.397,17.299,2.2
2020-08-12 03:30:00,73,9.055,218.282,-1.57,0.358,8.38,87.11,1.73,134937.453,0.396,17.176,2.19
2020-08-12 03:40:00,74,7.314,139.113,-1.62,0.356,8.4,87.14,1.74,135146.312,0.397,17.069,2.21
2020-08-12 03:50:00,75,3.192,173.929,-1.59,0.357,8.41,87.06,1.73,135712.891,0.397,16.967,2.14
2020-08-12 04:00:00,76,4.68,245.117,-1.61,0.359,8.41,86.91,2.02,136677.328,0.397,16.87,2.17
2020-08-12 04:10:00,77,6.364,221.537,-1.59,0.359,8.41,86.77,1.85,140026.688,0.397,16.796,2.04
2020-08-12 04:20:00,78,5.32,158.106,-1.63,0.361,8.42,86.7,2.17,139265.094,0.397,16.74,2.01
2020-08-12 04:30:00,79,3.037,173.996,-1.63,0.361,8.42,86.7,2.17,139265.094,0.397,,2.01
2020-08-12 04:40:00,80,3.748,155.162,-1.56,0.36,8.45,86.91,2.18,140604.797,0.397,16.654,1.9
2020-08-12 04:50:00,81,5.938,83.007,-1.59,0.362,8.45,86.81,1.94,141633.656,0.397,16.608,1.93
2020-08-12 05:00:00,82,6.124,38.759,-1.54,0.361,8.43,86.5,1.77,142860.188,0.397,16.564,1.8
2020-08-12 05:10:00,83,4.065,56.251,-1.6,0.363,8.41,86.29,2.15,146328.875,0.397,16.522,1.79
