TIMESTAMP,Samp_RECORD,Samp_Temp_degC,Samp_EC_uScm,Samp_pH,Samp_DO_Sat,Samp_DO_mg,Samp_Turbidity_NTU,Samp_Chloraphylla_ugL
2019-12-31 00:00:00,108437.0,27.0,49910.0,8.0,97.0,6.0,6.0,6.0
2019-12-31 00:30:00,108438.0,27.0,49885.0,8.0,97.0,6.0,5.0,6.0
2019-12-31 01:00:00,108438.0,27.0,49860.0,8.0,98.0,6.0,6.0,6.0
2019-12-31 01:30:00,108438.0,27.0,49855.0,8.0,97.0,6.0,6.0,7.0
2019-12-31 02:00:00,108439.0,27.0,49850.0,8.0,98.0,6.0,6.0,7.0
2019-12-31 02:30:00,108440.0,27.0,49840.0,8.0,98.0,6.0,6.0,7.0
2019-12-31 03:00:00,108440.0,27.0,49830.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 03:30:00,108440.0,27.0,49725.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 04:00:00,108441.0,27.0,49620.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 04:30:00,108442.0,27.0,49525.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 05:00:00,108442.0,27.0,49430.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 05:30:00,108442.0,27.0,49350.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 06:00:00,108443.0,27.0,49270.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 06:30:00,108444.0,27.0,49175.0,8.0,97.0,6.0,6.0,9.0
2019-12-31 07:00:00,108444.0,27.0,49080.0,8.0,97.0,6.0,6.0,9.0
2019-12-31 07:30:00,108444.0,27.0,48945.0,8.0,97.0,6.0,6.0,9.0
2019-12-31 08:00:00,108445.0,27.0,48810.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 08:30:00,108446.0,27.0,48730.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 09:00:00,108446.0,27.0,48810.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 09:30:00,108446.0,27.0,48865.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 10:00:00,108447.0,27.0,48920.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 10:30:00,108448.0,27.0,49000.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 11:00:00,108448.0,27.0,49080.0,8.0,98.0,6.0,6.0,9.0
2019-12-31 11:30:00,108448.0,27.0,49090.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 12:00:00,108449.0,27.0,49100.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 12:30:00,108450.0,27.0,49185.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 13:00:00,108450.0,27.0,49270.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 13:30:00,108450.0,27.0,49350.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 14:00:00,108451.0,27.0,49430.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 14:30:00,108452.0,27.0,49500.0,8.0,98.0,6.0,6.0,8.0
2019-12-31 15:00:00,108452.0,27.0,49500.0,8.0,98.0,7.0,6.0,8.0
2019-12-31 15:30:00,108454.0,27.0,49500.0,8.0,98.0,7.0,6.0,8.0
2019-12-31 16:00:00,108454.0,27.0,49455.0,8.0,98.0,7.0,6.0,8.0
2019-12-31 16:30:00,108456.0,27.0,49405.0,8.0,98.0,7.0,6.0,8.0
2019-12-31 17:00:00,108456.0,27.0,49325.0,8.0,98.0,7.0,6.0,8.0
2019-12-31 17:30:00,108458.0,27.0,49260.0,8.0,99.0,7.0,6.0,8.0
2019-12-31 18:00:00,108458.0,27.0,49175.0,8.0,99.0,7.0,6.0,8.0
2019-12-31 18:30:00,108460.0,27.0,49175.0,8.0,99.0,7.0,6.0,8.0
2019-12-31 19:00:00,108460.0,27.0,49175.0,8.0,100.0,7.0,6.0,8.0
2019-12-31 19:30:00,108462.0,27.0,49175.0,8.0,102.0,7.0,6.0,8.0
2019-12-31 20:00:00,108462.0,27.0,49175.0,8.0,102.0,7.0,6.0,8.0
2019-12-31 20:30:00,108464.0,27.0,49175.0,8.0,103.0,7.0,6.0,8.0
2019-12-31 21:00:00,108464.0,27.0,49175.0,8.0,103.0,7.0,6.0,8.0
2019-12-31 21:30:00,108466.0,27.0,49175.0,8.0,105.0,7.0,6.0,7.0
2019-12-31 22:00:00,108466.0,27.0,49175.0,8.0,107.0,7.0,6.0,7.0
2019-12-31 22:30:00,108468.0,27.0,49265.0,8.0,108.0,7.0,6.0,7.0
2019-12-31 23:00:00,108468.0,27.0,49330.0,8.0,108.0,7.0,6.0,7.0
2019-12-31 23:30:00,108470.0,27.0,49410.0,8.0,108.0,7.0,6.0,6.0
2020-01-01 00:00:00,108470.0,27.0,49460.0,8.0,108.0,7.0,6.0,6.0
2020-01-01 00:30:00,108472.0,27.0,49525.0,8.0,108.0,7.0,6.0,6.0
2020-01-01 01:00:00,108472.0,27.0,49525.0,8.0,108.0,7.0,6.0,6.0
2020-01-01 01:30:00,108474.0,27.0,49525.0,8.0,108.0,7.0,6.0,6.0
2020-01-01 02:00:00,108474.0,27.0,49525.0,8.0,108.0,7.0,5.0,6.0
2020-01-01 02:30:00,108476.0,27.0,49525.0,8.0,108.0,7.0,5.0,6.0
2020-01-01 03:00:00,108476.0,27.0,49460.0,8.0,108.0,7.0,5.0,6.0
2020-01-01 03:30:00,108478.0,27.0,49435.0,8.0,108.0,7.0,5.0,6.0
2020-01-01 04:00:00,108478.0,27.0,49405.0,8.0,108.0,7.0,5.0,7.0
2020-01-01 04:30:00,108480.0,27.0,49330.0,8.0,108.0,7.0,5.0,7.0
2020-01-01 05:00:00,108480.0,27.0,49280.0,8.0,108.0,7.0,5.0,7.0
2020-01-01 05:30:00,108482.0,27.0,49265.0,8.0,108.0,7.0,5.0,8.0
2020-01-01 06:00:00,108482.0,27.0,49195.0,8.0,108.0,7.0,5.0,8.0
2020-01-01 06:30:00,108484.0,27.0,49120.0,8.0,106.0,7.0,5.0,8.0
2020-01-01 07:00:00,108484.0,27.0,49090.0,8.0,104.0,7.0,5.0,8.0
2020-01-01 07:30:00,108486.0,27.0,49030.0,8.0,103.0,7.0,5.0,8.0
2020-01-01 08:00:00,108486.0,27.0,48945.0,8.0,102.0,7.0,5.0,8.0
2020-01-01 08:30:00,108488.0,27.0,48885.0,8.0,102.0,7.0,5.0,7.0
2020-01-01 09:00:00,108488.0,27.0,48860.0,8.0,102.0,7.0,5.0,7.0
2020-01-01 09:30:00,108490.0,27.0,48920.0,8.0,102.0,7.0,5.0,7.0
2020-01-01 10:00:00,108490.0,27.0,49025.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 10:30:00,108492.0,27.0,49085.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 11:00:00,108492.0,27.0,49120.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 11:30:00,108494.0,27.0,49160.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 12:00:00,108494.0,27.0,49210.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 12:30:00,108496.0,27.0,49260.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 13:00:00,108496.0,27.0,49280.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 13:30:00,108498.0,27.0,49350.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 14:00:00,108498.0,27.0,49350.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 14:30:00,108500.0,27.0,49350.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 15:00:00,108500.0,27.0,49350.0,8.0,102.0,7.0,4.0,6.0
2020-01-01 15:30:00,108502.0,27.0,49350.0,8.0,103.0,7.0,4.0,6.0
2020-01-01 16:00:00,108502.0,27.0,49350.0,8.0,103.0,7.0,4.0,6.0
2020-01-01 16:30:00,108504.0,27.0,49350.0,8.0,104.0,7.0,4.0,6.0
2020-01-01 17:00:00,108504.0,27.0,49350.0,8.0,105.0,7.0,4.0,6.0
2020-01-01 17:30:00,108506.0,28.0,49335.0,8.0,105.0,7.0,4.0,6.0
2020-01-01 18:00:00,108506.0,28.0,49285.0,8.0,105.0,7.0,4.0,6.0
2020-01-01 18:30:00,108508.0,28.0,49265.0,8.0,106.0,7.0,4.0,6.0
2020-01-01 19:00:00,108508.0,28.0,49265.0,8.0,106.0,7.0,4.0,6.0
2020-01-01 19:30:00,108510.0,28.0,49265.0,8.0,106.0,7.0,4.0,6.0
2020-01-01 20:00:00,108510.0,28.0,49265.0,8.0,107.0,7.0,4.0,6.0
2020-01-01 20:30:00,108512.0,28.0,49265.0,8.0,108.0,7.0,4.0,6.0
2020-01-01 21:00:00,108512.0,28.0,49265.0,8.0,109.0,7.0,4.0,5.0
2020-01-01 21:30:00,108514.0,28.0,49265.0,8.0,110.0,7.0,4.0,5.0
2020-01-01 22:00:00,108514.0,28.0,49265.0,8.0,111.0,7.0,4.0,5.0
2020-01-01 22:30:00,108516.0,28.0,49265.0,8.0,112.0,7.0,4.0,5.0
2020-01-01 23:00:00,108516.0,28.0,49265.0,8.0,113.0,7.0,4.0,5.0
2020-01-01 23:30:00,108518.0,28.0,49305.0,8.0,114.0,7.0,4.0,5.0
2020-01-02 00:00:00,108518.0,28.0,49355.0,8.0,114.0,7.0,4.0,5.0
2020-01-02 00:30:00,108520.0,28.0,49390.0,8.0,114.0,7.0,4.0,5.0
2020-01-02 01:00:00,108520.0,28.0,49405.0,8.0,114.0,7.0,4.0,5.0
2020-01-02 01:30:00,108522.0,28.0,49460.0,8.0,114.0,7.0,4.0,4.0
2020-01-02 02:00:00,108522.0,28.0,49505.0,8.0,114.0,7.0,4.0,4.0
2020-01-02 02:30:00,108524.0,28.0,49505.0,8.0,114.0,7.0,4.0,4.0
2020-01-02 03:00:00,108524.0,28.0,49505.0,8.0,114.0,7.0,4.0,5.0
2020-01-02 03:30:00,108526.0,28.0,49475.0,8.0,114.0,7.0,4.0,5.0
