TIMESTAMP,RECORD,Station,LoggerBattV,LoggerPanelTemp,EXO_TempC,EXO_SpCondmScm,EXO_Salpsu,EXO_pHmV,EXO_pH,EXO_ORPmV,EXO_Depthm,EXO_BatV,EXO_TSSmgL,EXO_ChlugL,EXO_ChlRFU,EXO_DOPerSat,EXO_DOmgL,EXO_BGAPCRFU,EXO_BGAPERFU,EXO_BGAPCugL,EXO_BGAPEugL,EXO_TurbFNU,EXO_fDOMRFU,EXO_fDOMQSU,EXO_TurbNTU,ABSSpd_Avg,Direction_Avg,NorthCur_Avg,EastCur_Avg,Heading_Avg,TiltX_Avg,TiltY_Avg,SPstd_Avg,SigStrength_Avg,PingCnt_Avg,AbsTilt_Avg,MaxTilt_Avg,StdTilt_Avg,Gill_Ws_Mean,Gill_Wd_MeanUnitVector,Gill_Wd_StdDev,Gill_WindSpd_Max,Gill_Temperature_Avg,Gill_RH,Gill_Pressure,Gill_Rain_mm_Tot,Gill_TotalRain_mm,Gill_DewPoint_Avg,Gill_SRad_Avg,Gill_SunHours_Avg,Gill_Latitude,Gill_Longitude,Gill_Time,Gill_TotalDailyRain_mm,OPUS517_ActiveLSA,OPUS1000_N_NO3,OPUS1004_CODeq,OPUS1014_TOCeq,OPUS1016_TSSeq,OPUS1032_SAC254,OPUS1034_Abs360,OPUS1036_Abs210,OPUS1038_FitError,OPUS1042_Abs254,OPUS1052_COD_SACeq,OPUS1060_SQI,OPUS1_MeasureTime,ModemTimeOn,ModemTimeOff
"2018-10-17 10:30",116,BrambleBayWQBuoy,13.14,31.25,21.696,51.697,34.04,-106.41,8.06,0,0.489,6.29,0,2.07,0.51,101.43,7.32,0,1.7,0,4.57,3.61,-1.07,-3.19,3.61,12.30766,100.557,-2.237774,12.09682,68.12376,1.577727,-3.133333,0.002928748,4.877761,-27.83879,100,2.175049,4.737498,2.175,53.73,6.286,2.54,21.69,88,1017.7,0,0,19.56,7999,100,-27.30287,153.1054,17,18.00003,Salt,0.037,NAN,NAN,3.5019,1.9969,0.0135,1.5379,0.0015,0.0334,NAN,1,450,25260,183600
"2018-10-17 10:40",117,BrambleBayWQBuoy,13.18,31.73,21.775,51.544,33.93,-106.48,8.07,0,0.489,6.29,0,1.82,0.45,101.25,7.3,0,1.49,0,3.96,3.65,-1.05,-3.13,3.65,11.85489,101.0194,-2.240878,11.63555,70.34941,1.764681,-1.678937,2.973507,-14.34206,44.73751,44.83392,3.674636,2.725307,2.44,61.76,7.405,3.1,21.8,84,1017.6,0,0,19.47,7999,100,-27.30286,153.1054,17,18.00003,Salt,0.0188,NAN,NAN,3.5074,2.0109,0.0135,1.533,0.0022,0.0336,NAN,1,450,27060,183600
"2018-10-17 10:50",118,BrambleBayWQBuoy,13.14,32.29,21.791,51.753,34.08,-106.57,8.07,0,0.487,6.29,0,1.69,0.41,101.63,7.32,0,1.49,0,3.98,3.57,-1.14,-3.4,3.57,11.1962,108.5566,-3.552098,10.56805,71.49304,2.151239,0.6082636,2.320486,-9.51219,26.86615,57.81417,3.63656,2.687805,2.243,59.83,9.69,3.17,21.9,85,1017.5,0,0,19.23,7999,100,-27.30287,153.1054,17,18.00003,Salt,0.0261,NAN,NAN,3.9245,1.9113,0.0151,1.5524,0.0017,0.0342,NAN,1,450,28860,183600
"2018-10-17 11:00",119,BrambleBayWQBuoy,13.18,32.82,21.959,51.915,34.2,-106.6,8.07,0,0.487,6.28,0,1.66,0.41,101.99,7.32,0,1.54,0,4.1,3.52,-1.23,-3.69,3.52,13.77844,112.4595,-5.241514,12.74173,73.9185,2.281818,0.440985,2.8514,-13.52041,44.07411,44.60746,3.215093,2.197174,2.481,57.97,7.479,3.36,21.89,85,1017.4,0,0,19.38,7999,100,-27.30288,153.1054,17,18.00003,Salt,0.0469,NAN,NAN,3.5909,1.7491,0.0138,1.549,0.0026,0.0313,NAN,1,450,30600,183660
"2018-10-17 11:10",120,BrambleBayWQBuoy,13.25,32.86,22.207,51.74,34.07,-106.49,8.06,0,0.487,6.29,0,1.39,0.34,102,7.29,0,1.24,0,3.28,3.38,-1.21,-3.63,3.38,15.84133,109.4585,-5.269758,14.92725,70.5913,2.052333,0.005851304,2.0337,-8.913363,27.82207,57.641,3.063888,3.146327,2.291,71.1,11.72,2.93,21.94,87,1017.4,0,0,19.57,7999,100,-27.30288,153.1054,17,18.00003,Salt,0.0178,NAN,NAN,2.9105,1.9153,0.0112,1.5405,0.0015,0.0303,NAN,1,450,30600,185460
"2018-10-17 11:20",121,BrambleBayWQBuoy,13.26,32.6,22.257,51.767,34.09,-106.63,8.07,0,0.492,6.27,0,1.31,0.32,102.26,7.3,0,1.27,0,3.35,3.38,-1.24,-3.7,3.38,17.45216,106.2985,-4.872041,16.75497,69.43375,1.826158,0.1646397,2.722498,-13.33371,44.80511,44.61934,3.525284,2.673955,2.789,72.68,7.751,3.51,21.9,87,1017.1,0,0,19.64,7999,100,-27.30287,153.1054,17,18.00003,Salt,0.0307,NAN,NAN,2.9681,1.758,0.0114,1.5463,0.0027,0.029,NAN,1,450,30600,187260
"2018-10-17 11:30",122,BrambleBayWQBuoy,13.14,32.35,22.189,51.856,34.16,-106.7,8.07,0,0.491,6.28,0,1.35,0.33,102.16,7.3,0,1.26,0,3.34,3.39,-1.26,-3.77,3.39,18.0839,109.7082,-6.055631,16.99664,69.506,2.036807,0.006075107,5.282595,-27.86791,100,2.83757,4.124413,0.8681735,3.14,77.1,6.516,3.91,21.74,89,1017.1,0,0,19.73,7999,100,-27.30287,153.1054,17,18.00003,Salt,0.0092,NAN,NAN,3.417,1.8553,0.0131,1.5498,0.0015,0.0317,NAN,1,450,30600,189060
"2018-10-17 11:40",123,BrambleBayWQBuoy,13.21,32.09,22.247,51.92,34.2,-106.67,8.07,0,0.49,6.29,0,1.64,0.4,102.53,7.32,0,1.39,0,3.68,3.39,-1.31,-3.91,3.39,18.04448,108.8035,-5.784009,17.05235,63.42989,2.068531,0.4750351,4141.781,-9.141546,28.74126,58.08454,3.278665,3.047651,2.7,86,5.743,3.05,21.63,90,1017,0,0,19.96,7999,100,-27.30287,153.1054,17,18.00003,Salt,0.0299,NAN,NAN,3.6758,1.7362,0.0141,1.548,0.0012,0.0315,NAN,1,450,30600,190860
"2018-10-17 11:50",124,BrambleBayWQBuoy,13.18,31.86,22.321,51.973,34.24,-106.63,8.07,0,0.489,6.29,0,1.26,0.31,102.83,7.33,0,1.22,0,3.21,3.36,-1.33,-3.97,3.36,18.40465,111.3289,-6.674359,17.07503,59.44964,2.111431,2.7,37403.87,5.396594,-25.42432,100,2.551607,4.365667,2.801,85.9,5.351,3.22,21.63,89,1016.9,0,0,19.8,7999,100,-27.30286,153.1054,17,18.00003,Salt,0.0229,NAN,NAN,2.5965,1.8483,0.01,1.5563,0.0014,0.0285,NAN,1,450,30600,192660
"2018-10-17 12:00",125,BrambleBayWQBuoy,13.17,31.66,22.272,52.118,34.35,-106.98,8.07,0,0.487,6.28,0,1.43,0.35,103.04,7.34,0,1.37,0,3.62,3.31,-1.34,-4,3.31,18.10098,113.2606,-7.154205,16.61288,60.60833,2.097892,1.697029,26185.38,-13.16144,45.75761,44.9043,3.676954,2.482253,3.012,84,6.607,3.63,21.67,88,1016.8,0,0,19.79,7999,100,-27.30288,153.1054,17,18.00003,Salt,0.0309,NAN,NAN,2.9849,1.7677,0.0115,1.5623,0.0016,0.0292,NAN,1,450,30600,194460
