TIMESTAMP,RECORD,Temp_degC,EC_uScm,pH,DO_Sat,DO_mg,Turbidity_NTU,Chloraphylla_ugL
"2019-12-31 00:03:30",108437,27.24,49910,7.87,96.6,6.39,5.6,6.2
"2019-12-31 00:33:30",108438,27.24,49860,7.89,98.3,6.5,4.9,5.5
"2019-12-31 01:03:30",108439,27.24,49850,7.88,97.7,6.46,5.8,7.2
"2019-12-31 01:33:30",108440,27.12,49830,7.91,96.3,6.38,6.9,9.6
"2019-12-31 02:03:30",108441,27.14,49620,7.88,98.1,6.5,6.2,7.5
"2019-12-31 02:33:30",108442,27.18,49430,7.84,97.3,6.45,6.7,8.6
"2019-12-31 03:03:30",108443,27.19,49270,7.82,97.6,6.48,6.4,8.9
"2019-12-31 03:33:30",108444,27.19,49080,7.84,98.2,6.52,6.4,9
"2019-12-31 04:03:30",108445,27.15,48810,7.8,98.3,6.54,6.2,9.1
"2019-12-31 04:33:30",108446,27.1,48630,7.79,97.8,6.51,6.7,10
"2019-12-31 05:03:30",108447,27.08,48450,7.76,96.3,6.42,7.2,12
"2019-12-31 05:33:30",108448,27.07,48330,7.75,95.9,6.4,7.2,9
"2019-12-31 06:03:30",108449,27.04,48140,7.71,94.9,6.34,7.3,9.1
"2019-12-31 06:33:30",108450,27,48270,7.74,96.1,6.42,5.6,8.1
"2019-12-31 07:03:30",108451,26.98,48260,7.73,96.6,6.46,5.8,9.1
"2019-12-31 07:33:30",108452,27.09,48410,7.74,97.7,6.52,5.5,8.7
"2019-12-31 08:03:30",108453,27.25,48650,7.76,99,6.58,7.2,9.5
"2019-12-31 08:33:30",108454,27.29,48650,7.82,103.3,6.86,5.6,8
"2019-12-31 09:03:30",108455,27.35,48920,7.86,103.1,6.83,5.3,7.5
"2019-12-31 09:33:30",108456,27.32,49100,7.83,101.8,6.74,5.9,6.7
"2019-12-31 10:03:30",108457,27.27,49570,7.89,99.8,6.6,4.8,5.2
"2019-12-31 10:33:30",108458,27.28,49780,7.87,98.7,6.52,5.2,5.9
"2019-12-31 11:03:30",108459,27.28,49910,7.88,98.3,6.5,7.1,5.3
"2019-12-31 11:33:30",108460,27.21,50000,7.9,97.6,6.45,6.2,6.3
"2019-12-31 12:03:30",108461,27.11,50040,7.87,94.2,6.23,9.4,7.9
"2019-12-31 12:33:30",108462,27.16,50110,7.88,95.5,6.32,9.1,6.3
"2019-12-31 13:03:30",108463,27.4,50060,7.89,99,6.52,6.5,6.4
"2019-12-31 13:33:30",108464,27.38,50000,7.9,101.2,6.67,4.8,5.5
"2019-12-31 14:03:30",108465,27.45,49930,7.94,103,6.78,6,6.4
"2019-12-31 14:33:30",108466,27.63,49770,7.94,106.5,7,5.3,5.7
"2019-12-31 15:03:30",108467,27.69,49690,7.95,108.2,7.11,5.1,6.5
"2019-12-31 15:33:30",108468,27.7,49570,7.94,107.7,7.07,6.1,7.4
"2019-12-31 16:03:30",108469,27.68,49480,7.92,107.9,7.09,6.5,6.3
"2019-12-31 16:33:30",108470,27.75,49380,7.95,110.9,7.29,6,8.9
"2019-12-31 17:03:30",108471,27.76,49250,7.92,112.9,7.42,6.6,9.2
"2019-12-31 17:33:30",108472,27.76,49080,7.92,115.1,7.57,7,9.3
"2019-12-31 18:03:30",108473,27.69,48910,7.91,115.5,7.61,6.2,9.2
"2019-12-31 18:33:30",108474,27.63,48620,7.88,113.7,7.51,8.6,11.1
"2019-12-31 19:03:30",108475,27.59,48480,7.87,112.9,7.47,7.6,9
"2019-12-31 19:33:30",108476,27.53,48370,7.85,112.4,7.44,6.6,8.1
"2019-12-31 20:03:30",108477,27.52,48450,7.9,112.7,7.46,4.9,8.5
"2019-12-31 20:33:30",108478,27.49,48540,7.89,112.7,7.46,3.8,6.7
"2019-12-31 21:03:30",108479,27.56,48780,7.91,112.6,7.44,5.3,7.9
"2019-12-31 21:33:30",108480,27.49,48860,7.9,111,7.34,3.5,4.4
"2019-12-31 22:03:30",108481,27.53,49100,7.9,111.1,7.33,3.6,5.3
"2019-12-31 22:33:30",108482,27.5,49280,7.89,108.5,7.16,3.8,3.3
"2019-12-31 23:03:30",108483,27.47,49440,7.89,107.4,7.09,3.8,4.3
"2019-12-31 23:33:30",108484,27.41,49600,7.89,104.4,6.89,3.4,4.8
"2020-01-01 00:03:30",108485,27.36,49720,7.89,103.4,6.83,3.1,3.2
"2020-01-01 00:33:30",108486,27.34,49720,7.91,102.4,6.76,3.3,4.7
"2020-01-01 01:03:30",108487,27.31,49740,7.89,101.7,6.72,4.2,5.7
"2020-01-01 01:33:30",108488,27.28,49720,7.88,100.2,6.62,4.4,5.3
"2020-01-01 02:03:30",108489,27.2,49710,7.86,99.8,6.61,4.1,4.7
"2020-01-01 02:33:30",108490,27.17,49570,7.85,99.3,6.58,5.2,7.8
"2020-01-01 03:03:30",108491,27.18,49430,7.83,99.8,6.62,5,7.2
"2020-01-01 03:33:30",108492,27.2,49280,7.81,99.4,6.59,5,7.8
"2020-01-01 04:03:30",108493,27.21,49140,7.84,99.5,6.6,5,8.7
"2020-01-01 04:33:30",108494,27.19,48980,7.81,99.6,6.62,4.8,9.3
"2020-01-01 05:03:30",108495,27.18,48860,7.77,97.8,6.5,6.8,12.6
"2020-01-01 05:33:30",108496,27.15,48730,7.78,97.2,6.47,6.4,8.7
"2020-01-01 06:03:30",108497,27.1,48530,7.74,97.7,6.51,5.8,9.4
"2020-01-01 06:33:30",108498,27.09,48420,7.73,97.8,6.52,5.8,7.9
"2020-01-01 07:03:30",108499,27.15,48440,7.74,100.1,6.67,4.3,6.3
"2020-01-01 07:33:30",108500,27.21,48490,7.78,102.5,6.82,5.1,7.7
"2020-01-01 08:03:30",108501,27.26,48700,7.77,101.5,6.74,4.4,7
"2020-01-01 08:33:30",108502,27.29,48640,7.81,103.2,6.85,4.7,6.1
"2020-01-01 09:03:30",108503,27.4,48820,7.84,105.6,7,4.3,6.1
"2020-01-01 09:33:30",108504,27.47,49070,7.87,105,6.94,4.6,5.7
"2020-01-01 10:03:30",108505,27.5,49240,7.85,106.9,7.05,3.7,4.5
